Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","2.2uF","C_1206_3216Metric",134.000000,-92.000000,0.000000,top
"R1","10k","R_0603_1608Metric",137.000000,-103.000000,0.000000,top
"R2","10k","R_0603_1608Metric",139.175000,-93.000000,0.000000,top
"R3","10k","R_0603_1608Metric",167.000000,-94.000000,180.000000,top
"R4","10k","R_0603_1608Metric",171.000000,-103.000000,180.000000,top
"R5","470","R_0603_1608Metric",142.000000,-95.825000,270.000000,top
"R6","470","R_0603_1608Metric",142.000000,-101.825000,270.000000,top
"R7","470","R_0603_1608Metric",142.000000,-92.825000,270.000000,top
"R8","470","R_0603_1608Metric",142.000000,-98.825000,270.000000,top
"R9","470","R_0603_1608Metric",162.000000,-106.000000,270.000000,top
"R10","470","R_0603_1608Metric",162.000000,-112.000000,270.000000,top
"R11","470","R_0603_1608Metric",162.000000,-103.000000,90.000000,top
"R12","470","R_0603_1608Metric",162.000000,-109.000000,270.000000,top
"U1","ATtiny84A-SSU","SOIC-14_3.9x8.7mm_P1.27mm",154.475000,-98.810000,0.000000,top
"U2","DS1307Z+","SOIC-8_3.9x4.9mm_P1.27mm",157.000000,-90.000000,180.000000,top
"U3","HT16K33-24","SOIC-24W_7.5x15.4mm_P1.27mm",152.000000,-112.000000,0.000000,top
"U5","SPX3819M5-L-5-0","SOT-23-5",147.900000,-95.050000,0.000000,top
